z_k_0,z_k_1,x_k_0,x_k_1
0.21,0.13,0.25,0.09
0.23,-0.05,0.23,0.07
0.41,0.03,0.25,0.07
0.30,-0.05,0.25,0.05
0.41,-0.08,0.27,0.04
-0.11,-0.10,0.23,0.02
0.06,-0.02,0.20,0.02
0.23,-0.01,0.20,0.02
0.04,0.10,0.17,0.03
0.06,0.07,0.15,0.04
0.07,-0.07,0.15,0.02
0.37,0.10,0.18,0.03
0.02,-0.13,0.17,0.00
-0.11,-0.08,0.13,-0.00
0.40,-0.08,0.17,-0.02
0.11,0.16,0.16,0.01
0.36,-0.08,0.18,-0.00
0.22,-0.19,0.18,-0.03
0.26,-0.19,0.19,-0.04
-0.01,-0.13,0.16,-0.05
0.24,0.06,0.17,-0.04
0.09,-0.07,0.16,-0.04
0.48,-0.13,0.19,-0.06
0.43,-0.05,0.23,-0.06
0.27,-0.05,0.24,-0.06
0.25,-0.02,0.24,-0.05
-0.04,-0.17,0.20,-0.07
0.38,0.07,0.23,-0.05
0.17,-0.10,0.22,-0.06
-0.04,-0.05,0.18,-0.06
0.24,0.01,0.20,-0.04
0.13,-0.08,0.18,-0.05
0.12,0.09,0.18,-0.03
0.40,0.06,0.22,-0.02
0.24,-0.16,0.24,-0.03
0.40,-0.07,0.27,-0.04
0.29,-0.08,0.27,-0.04
0.37,0.09,0.30,-0.03
0.09,-0.13,0.26,-0.04
0.27,-0.01,0.26,-0.04
0.29,-0.19,0.27,-0.05
0.32,-0.10,0.28,-0.06
0.22,0.03,0.27,-0.05
-0.11,-0.20,0.23,-0.06
0.22,-0.04,0.23,-0.05
0.23,0.01,0.22,-0.04
0.07,0.10,0.20,-0.03
0.37,0.13,0.22,-0.01
0.34,0.04,0.24,-0.01
-0.01,0.24,0.21,0.00
0.66,0.04,0.25,0.01
0.05,-0.10,0.23,-0.00
0.25,-0.04,0.23,-0.00
0.53,-0.08,0.25,-0.01
0.37,0.12,0.28,0.01
0.01,-0.20,0.25,-0.01
0.34,0.09,0.26,-0.00
0.29,0.07,0.26,0.01
0.24,-0.07,0.26,-0.00
-0.23,0.10,0.18,0.02
0.19,-0.04,0.19,0.00
0.23,-0.05,0.21,-0.01
0.23,0.15,0.21,0.01
0.14,0.04,0.19,0.02
0.25,0.07,0.21,0.03
0.20,0.10,0.20,0.04
0.38,-0.05,0.25,0.04
0.22,0.10,0.24,0.05
0.13,0.03,0.21,0.03
0.15,-0.05,0.20,0.02
0.24,0.03,0.20,0.02
-0.11,-0.05,0.18,0.01
0.28,-0.02,0.19,0.00
0.35,-0.04,0.20,-0.01
-0.01,-0.10,0.19,-0.02
-0.06,0.16,0.17,0.00
0.19,-0.02,0.18,-0.00
0.26,0.07,0.18,0.01
0.62,-0.19,0.20,-0.01
0.27,-0.11,0.20,-0.02
-0.01,-0.07,0.18,-0.03
0.00,0.12,0.17,-0.01
0.28,0.01,0.19,-0.01
0.06,0.04,0.18,-0.00
0.01,-0.11,0.15,-0.02
0.27,-0.14,0.16,-0.03
0.34,-0.19,0.18,-0.06
0.24,-0.13,0.19,-0.07
0.11,0.06,0.18,-0.05
0.32,-0.01,0.22,-0.04
0.17,-0.16,0.21,-0.06
0.45,-0.04,0.25,-0.06
0.08,-0.05,0.23,-0.06
-0.17,0.10,0.18,-0.04
0.29,0.12,0.20,-0.02
0.34,-0.04,0.22,-0.03
-0.06,-0.01,0.18,-0.02
0.31,0.21,0.19,0.00
0.36,0.18,0.20,0.02
-0.01,-0.16,0.19,0.01
0.26,-0.07,0.20,-0.00
0.18,-0.04,0.20,-0.01
0.31,-0.20,0.23,-0.03
0.43,-0.11,0.26,-0.04
0.02,0.15,0.20,-0.02
0.48,0.07,0.24,-0.01
0.48,0.19,0.27,0.01
-0.11,-0.22,0.23,-0.00
0.30,-0.14,0.25,-0.02
0.59,-0.04,0.29,-0.03
0.10,-0.01,0.26,-0.03
-0.06,-0.05,0.23,-0.03
0.27,0.07,0.23,-0.01
0.38,-0.23,0.25,-0.04
0.18,0.16,0.24,-0.01
0.01,0.25,0.21,0.02
0.25,0.10,0.22,0.03
0.13,0.03,0.20,0.03
0.26,0.12,0.23,0.05
0.33,-0.14,0.23,0.02
0.24,0.01,0.23,0.02
0.32,0.09,0.26,0.03
0.16,0.03,0.21,0.02
0.49,0.09,0.27,0.04
0.04,-0.10,0.24,0.01
-0.06,0.15,0.17,0.06
0.09,0.10,0.15,0.08
0.32,0.01,0.19,0.05
0.40,0.03,0.22,0.04
-0.01,0.03,0.20,0.04
0.15,0.06,0.19,0.05
0.20,-0.10,0.20,0.02
0.11,-0.22,0.19,-0.01
0.45,0.28,0.21,0.01
-0.16,-0.34,0.18,-0.01
0.03,0.09,0.16,0.00
1.03,0.03,0.27,-0.01
0.48,-0.10,0.30,-0.01
0.43,-0.14,0.31,-0.02
0.06,-0.02,0.29,-0.02
0.03,0.07,0.25,-0.02
0.25,-0.07,0.25,-0.02
0.20,0.15,0.25,-0.01
-0.25,0.03,0.20,-0.01
0.37,-0.07,0.21,-0.01
0.31,-0.11,0.20,-0.04
0.21,0.09,0.22,-0.01
0.01,-0.04,0.19,-0.02
0.37,-0.19,0.20,-0.04
0.07,-0.08,0.17,-0.05
-0.26,-0.14,0.13,-0.06
0.31,0.04,0.14,-0.05
0.10,-0.10,0.14,-0.06
0.23,0.04,0.15,-0.04
0.36,0.01,0.18,-0.03
0.12,-0.08,0.18,-0.04
0.14,0.12,0.15,-0.02
0.45,0.04,0.20,-0.01
0.29,-0.07,0.24,-0.03
-0.06,-0.11,0.19,-0.04
0.36,-0.04,0.22,-0.04
-0.00,0.09,0.18,-0.02
0.05,-0.02,0.16,-0.02
0.20,-0.02,0.17,-0.02
0.27,0.03,0.19,-0.01
0.21,-0.05,0.19,-0.02
-0.01,0.10,0.17,-0.00
0.46,-0.22,0.18,-0.02
-0.06,0.09,0.16,-0.02
0.26,-0.01,0.18,-0.01
0.25,0.04,0.22,0.01
0.32,0.03,0.24,0.01
0.09,-0.01,0.21,0.01
0.09,-0.19,0.18,-0.01
0.65,-0.08,0.22,-0.02
0.01,0.10,0.21,-0.01
0.35,-0.07,0.22,-0.01
0.30,-0.01,0.23,-0.01
0.36,-0.19,0.25,-0.03
-0.00,-0.05,0.22,-0.03
0.21,0.04,0.21,-0.02
0.38,0.07,0.23,-0.01
0.32,-0.11,0.25,-0.03
0.40,0.19,0.25,-0.01
0.16,-0.04,0.24,-0.01
0.20,-0.14,0.24,-0.03
-0.13,0.04,0.17,-0.01
0.02,0.21,0.15,0.02
-0.07,-0.08,0.12,0.01
0.32,-0.10,0.15,-0.01
0.27,-0.05,0.17,-0.02
0.09,0.13,0.16,0.00
0.12,0.04,0.15,0.01
0.21,0.01,0.16,0.01
0.29,-0.01,0.19,0.01
0.07,0.01,0.17,0.01
0.07,0.01,0.15,0.01
0.18,-0.01,0.15,0.00
0.02,-0.04,0.13,-0.01
0.19,-0.10,0.14,-0.04
0.17,-0.07,0.15,-0.05
-0.14,0.07,0.10,-0.03
0.06,0.01,0.10,-0.02
0.40,-0.17,0.13,-0.03
-0.01,-0.11,0.10,-0.04
0.27,-0.05,0.13,-0.04
0.55,-0.17,0.16,-0.05
0.33,-0.02,0.18,-0.04
0.18,0.06,0.18,-0.03
0.38,-0.04,0.20,-0.03
0.10,0.10,0.19,-0.02
0.24,0.09,0.20,-0.01
0.00,0.12,0.17,-0.00
0.18,0.12,0.17,0.01
0.23,-0.05,0.18,0.00
0.33,0.06,0.24,0.02
0.13,0.24,0.26,0.04
0.40,0.04,0.29,0.03
0.20,0.03,0.27,0.03
0.10,-0.11,0.25,0.03
0.15,0.01,0.23,0.03
0.28,-0.07,0.24,0.02
0.04,0.04,0.21,0.03
0.21,-0.05,0.21,0.02
-0.01,-0.01,0.18,0.02
0.17,-0.17,0.19,0.00
0.20,-0.07,0.19,-0.01
-0.02,-0.02,0.16,-0.00
0.35,0.15,0.18,0.01
0.13,0.07,0.17,0.02
0.21,-0.04,0.18,0.01
0.13,-0.01,0.17,0.01
0.41,-0.10,0.20,-0.00
0.25,-0.22,0.21,-0.03
0.12,-0.13,0.19,-0.04
0.34,0.04,0.21,-0.03
0.17,-0.17,0.20,-0.05
0.05,0.10,0.19,-0.04
0.08,-0.02,0.17,-0.03
-0.22,-0.05,0.12,-0.05
0.04,-0.17,0.11,-0.08
0.25,-0.02,0.13,-0.06
0.03,0.04,0.12,-0.05
0.64,0.01,0.15,-0.04
0.01,0.19,0.14,-0.01
0.20,0.07,0.14,-0.00
0.21,0.12,0.15,0.02
0.19,-0.04,0.15,0.01
0.19,-0.14,0.16,-0.02
0.31,-0.05,0.18,-0.02
0.23,-0.11,0.18,-0.04
0.11,0.06,0.18,-0.02
0.24,-0.08,0.18,-0.03
0.29,-0.04,0.21,-0.03
0.20,0.03,0.22,-0.02
-0.35,-0.05,0.18,-0.02
0.32,0.03,0.18,-0.01
0.22,0.01,0.19,-0.00
-0.02,-0.01,0.17,-0.00
0.16,0.01,0.17,0.00
0.02,0.01,0.15,0.00
0.62,-0.10,0.18,-0.02
0.37,-0.13,0.19,-0.04
0.04,0.16,0.19,-0.02
0.31,0.09,0.20,-0.01
0.15,-0.05,0.20,-0.01
0.25,-0.08,0.20,-0.02
0.20,-0.07,0.19,-0.03
0.27,-0.10,0.20,-0.03
0.14,0.04,0.20,-0.02
0.03,0.03,0.17,-0.02
0.18,-0.02,0.17,-0.02
0.23,-0.07,0.19,-0.03
-0.02,0.21,0.15,0.00
0.14,-0.05,0.14,-0.01
0.21,0.04,0.18,0.00
0.21,-0.13,0.17,-0.01
0.16,-0.10,0.16,-0.02
0.20,0.01,0.17,-0.02
0.32,0.12,0.21,-0.00
0.05,-0.01,0.18,-0.00
0.00,-0.08,0.16,-0.01
0.48,-0.08,0.18,-0.02
0.05,0.01,0.17,-0.01
0.17,-0.08,0.18,-0.04
0.56,-0.04,0.20,-0.04
0.32,-0.16,0.22,-0.07
0.14,-0.20,0.23,-0.09
-0.00,0.07,0.21,-0.07
-0.10,-0.19,0.20,-0.08
0.28,-0.01,0.20,-0.07
0.20,0.10,0.19,-0.06
-0.08,0.01,0.17,-0.05
-0.15,-0.08,0.15,-0.05
0.44,0.10,0.16,-0.04
0.27,0.03,0.16,-0.03
0.40,-0.10,0.19,-0.04
-0.03,0.13,0.16,-0.02
0.22,0.13,0.15,-0.00
0.03,0.09,0.13,0.01
0.32,-0.08,0.15,-0.00
0.35,-0.04,0.18,-0.01
0.11,-0.08,0.17,-0.02
0.30,-0.07,0.19,-0.03
0.40,-0.26,0.21,-0.05
0.02,0.03,0.17,-0.05
0.56,0.03,0.23,-0.03
0.47,0.10,0.26,-0.01
0.20,0.04,0.25,-0.01
0.06,0.06,0.22,0.00
0.24,0.16,0.22,0.03
0.21,0.01,0.22,0.02
0.20,-0.13,0.22,0.00
0.00,0.04,0.19,0.01
0.04,-0.02,0.17,0.00
0.23,0.03,0.17,0.01
0.23,-0.04,0.19,-0.00
0.23,-0.11,0.21,-0.02
0.58,-0.14,0.27,-0.03
0.14,0.03,0.25,-0.02
0.19,0.03,0.24,-0.02
0.48,-0.02,0.28,-0.01
0.19,0.15,0.28,0.02
0.60,-0.10,0.32,0.00
0.29,-0.22,0.30,-0.02
-0.02,0.07,0.25,-0.01
0.23,0.03,0.25,-0.01
0.05,0.07,0.22,0.00
0.27,-0.14,0.22,-0.01
0.45,0.09,0.26,-0.01
0.08,-0.05,0.23,-0.01
0.56,-0.08,0.27,-0.02
0.28,0.04,0.27,-0.01
0.08,0.21,0.25,0.01
0.27,-0.02,0.25,0.01
0.32,0.04,0.26,0.01
0.24,-0.11,0.26,-0.01
0.34,-0.17,0.27,-0.03
0.13,0.09,0.24,-0.01
0.97,0.06,0.29,-0.01
0.39,0.10,0.29,0.01
0.34,-0.05,0.30,0.00
0.14,0.07,0.28,0.01
0.26,0.18,0.27,0.04
0.20,0.07,0.26,0.04
0.06,-0.13,0.25,0.01
0.09,-0.07,0.24,0.00
0.18,-0.04,0.23,-0.00
0.26,-0.01,0.23,-0.00
0.02,0.07,0.20,0.02
0.07,0.09,0.14,0.03
0.22,0.03,0.18,0.03
0.02,-0.02,0.12,0.03
0.01,-0.23,0.12,-0.00
-0.30,-0.01,0.07,-0.00
0.13,-0.07,0.08,-0.01
0.33,0.12,0.11,0.01
0.26,0.15,0.13,0.03
0.08,-0.10,0.12,0.01
0.24,-0.13,0.14,-0.00
0.46,-0.05,0.17,-0.01
0.19,0.21,0.17,0.01
0.36,-0.11,0.19,0.00
-0.09,0.01,0.16,0.00
0.26,0.04,0.17,0.01
0.28,-0.10,0.19,-0.01
0.08,0.10,0.18,0.01
0.34,0.09,0.22,0.03
0.29,0.03,0.23,0.03
0.53,-0.10,0.27,0.02
0.20,0.03,0.26,0.02
0.16,-0.16,0.24,-0.01
-0.04,0.06,0.20,-0.01
0.36,0.09,0.22,0.02
0.34,-0.07,0.24,0.00
0.18,-0.05,0.23,-0.01
0.29,-0.04,0.24,-0.01
0.16,-0.16,0.23,-0.04
0.22,-0.04,0.23,-0.04
0.14,-0.16,0.22,-0.06
0.26,-0.02,0.23,-0.05
0.34,0.06,0.24,-0.04
0.18,-0.02,0.23,-0.03
0.25,-0.08,0.26,-0.05
0.53,0.27,0.27,-0.03
0.46,0.06,0.30,-0.03
-0.09,-0.05,0.28,-0.02
0.29,0.07,0.28,-0.01
0.05,-0.13,0.27,-0.02
0.57,0.18,0.29,-0.00
0.21,-0.07,0.28,-0.01
0.24,0.12,0.28,0.01
0.07,0.04,0.27,0.02
0.00,-0.17,0.24,-0.00
0.19,-0.05,0.24,-0.01
0.29,-0.17,0.23,-0.03
-0.02,-0.05,0.18,-0.05
-0.33,0.15,0.15,-0.05
-0.00,-0.07,0.12,-0.06
0.02,-0.13,0.10,-0.08
0.15,-0.07,0.11,-0.08
0.22,0.03,0.13,-0.06
0.19,0.09,0.15,-0.03
0.09,0.19,0.16,-0.01
0.26,-0.04,0.17,-0.01
0.40,-0.02,0.19,-0.01
0.33,-0.10,0.20,-0.02
0.35,0.04,0.22,-0.00
-0.05,0.18,0.18,0.02
0.37,-0.08,0.21,0.01
0.58,0.09,0.28,0.04
0.18,-0.05,0.27,0.02
0.20,-0.10,0.25,0.00
0.22,-0.10,0.24,-0.01
0.24,-0.01,0.24,-0.01
0.18,0.03,0.23,-0.00
0.06,-0.23,0.22,-0.03
0.48,-0.11,0.26,-0.04
0.18,0.01,0.25,-0.03
0.18,-0.02,0.23,-0.03
-0.08,-0.30,0.22,-0.05
0.43,-0.05,0.26,-0.06
0.33,-0.04,0.27,-0.06
0.44,0.01,0.29,-0.05
0.22,-0.01,0.28,-0.04
0.30,-0.22,0.29,-0.07
0.54,-0.11,0.32,-0.08
0.53,0.10,0.34,-0.05
0.43,-0.05,0.35,-0.06
0.34,-0.08,0.35,-0.06
0.15,0.33,0.33,-0.04
0.36,0.21,0.37,-0.01
0.24,0.12,0.35,-0.01
-0.00,-0.02,0.30,-0.02
-0.00,0.25,0.27,-0.01
0.26,-0.11,0.26,-0.02
0.86,-0.01,0.32,0.01
0.33,-0.02,0.32,0.00
0.24,0.12,0.32,0.02
0.31,-0.14,0.31,-0.00
0.34,-0.11,0.31,-0.02
0.25,0.25,0.31,0.02
-0.11,-0.02,0.27,0.01
0.37,0.07,0.28,0.02
-0.13,0.25,0.22,0.06
-0.03,0.09,0.19,0.07
-0.02,-0.05,0.18,0.04
-0.22,-0.08,0.12,0.03
-0.03,-0.14,0.11,0.00
-0.02,0.03,0.09,0.01
0.53,-0.23,0.14,-0.02
0.15,-0.31,0.14,-0.05
0.19,-0.39,0.12,-0.10
0.05,-0.07,0.11,-0.09
0.59,-0.07,0.18,-0.08
0.53,-0.05,0.23,-0.07
0.24,0.07,0.23,-0.05
0.10,0.06,0.21,-0.03
0.32,0.12,0.23,-0.01
0.28,0.10,0.24,-0.00
-0.06,-0.34,0.20,-0.03
0.38,-0.46,0.25,-0.07
0.16,-0.55,0.25,-0.11
0.21,-0.49,0.25,-0.14
0.30,-0.51,0.26,-0.16
0.29,-0.66,0.27,-0.20
0.31,-0.43,0.27,-0.22
0.33,-0.49,0.28,-0.24
0.11,-0.34,0.24,-0.25
0.17,-1.91,0.23,-0.31
0.05,-0.83,0.19,-0.34
0.22,-0.68,0.20,-0.36
0.13,-0.57,0.18,-0.37
0.32,-1.00,0.22,-0.42
0.23,-0.89,0.22,-0.46
0.31,-0.59,0.24,-0.47
0.05,-0.33,0.20,-0.47
0.26,-0.40,0.21,-0.46
-0.03,0.30,0.17,-0.44
0.32,0.27,0.19,-0.39
0.14,0.32,0.19,-0.31
-0.33,0.10,0.16,-0.34
0.15,-0.17,0.16,-0.31
0.17,-0.16,0.16,-0.29
-0.08,-0.02,0.14,-0.26
-0.04,0.35,0.12,-0.11
0.12,0.35,0.11,0.04
0.50,-0.23,0.14,-0.02
0.22,-0.65,0.15,-0.20
0.08,-0.81,0.14,-0.27
0.29,-0.52,0.15,-0.29
0.33,-0.45,0.17,-0.30
0.48,-0.66,0.21,-0.33
-0.39,1.35,0.19,-0.25
0.33,0.47,0.22,-0.20
0.07,0.13,0.21,-0.18
0.28,-0.19,0.22,-0.18
0.74,-0.77,0.27,-0.19
0.74,-0.51,0.31,-0.19
0.20,-0.55,0.30,-0.22
0.70,-0.17,0.36,-0.14
0.27,0.39,0.36,-0.06
0.42,0.18,0.38,-0.00
0.33,0.03,0.37,-0.01
0.48,0.12,0.39,0.03
0.00,0.32,0.34,0.06
0.19,0.33,0.31,0.12
0.54,0.30,0.35,0.18
0.06,0.56,0.30,0.27
0.62,0.64,0.30,0.37
0.61,0.51,0.34,0.38
0.73,0.88,0.35,0.44
0.74,0.96,0.36,0.47
0.90,0.56,0.41,0.43
0.26,0.61,0.39,0.48
0.55,0.10,0.43,0.40
0.05,-0.48,0.43,0.34
0.10,-0.08,0.41,0.33
0.10,0.45,0.37,0.36
0.21,-0.68,0.40,0.29
0.69,-1.44,0.44,0.25
0.70,-2.33,0.41,0.15
0.64,-2.42,0.43,0.10
0.13,-1.88,0.37,0.04
0.21,-1.10,0.30,-0.03
0.36,-0.60,0.30,-0.05
0.23,-0.23,0.27,-0.08
0.37,1.29,0.32,-0.02
0.77,1.64,0.38,0.02
0.91,1.84,0.43,0.04
0.81,1.77,0.47,0.06
0.11,1.83,0.41,0.14
0.26,1.52,0.41,0.18
0.33,0.96,0.38,0.25
0.46,1.17,0.37,0.34
0.54,1.84,0.39,0.56
0.94,1.46,0.46,0.72
0.97,1.34,0.55,1.04
1.26,-0.33,0.59,0.94
0.80,-1.59,0.58,0.82
0.38,-1.79,0.55,0.71
0.31,-1.44,0.52,0.62
0.65,-0.45,0.54,0.58
0.85,0.28,0.59,0.57
0.65,0.91,0.60,0.59
0.47,1.70,0.57,0.65
0.83,2.38,0.61,0.76
0.82,1.72,0.65,0.83
0.99,-0.13,0.71,0.78
0.49,-1.84,0.68,0.57
1.15,-2.89,0.75,0.41
0.67,-2.72,0.72,0.18
0.75,-2.30,0.71,0.01
0.87,-1.13,0.74,-0.03
1.11,-0.97,0.75,-0.07
0.93,-1.18,0.79,-0.12
0.88,-0.69,0.81,-0.17
1.25,-2.04,0.88,-0.44
0.46,-2.40,0.82,-1.06
0.79,-3.15,0.80,-1.76
0.96,-3.12,0.82,-2.10
1.35,-2.42,0.89,-2.18
-17.65,-1.46,0.87,-2.15
-1.11,1.37,0.88,-1.80
-0.15,-2.31,0.87,-1.86
1.25,-2.20,0.86,-1.90
0.98,-2.43,0.85,-1.96
0.43,-1.58,0.84,-1.91
1.97,-3.44,0.82,-2.10
2.96,-4.80,0.80,-2.37
-3.64,-1.17,0.79,-2.28
5.22,0.94,0.81,-2.00
